PF_attempted,affected_flow_count,affected_flow_ids,affected_flow_ratio,endpoint_a,endpoint_b,fault_id,healthy_route_use_count,internal_switch_link,link_id,p0_used,relevant_fault,scale,scenario,topology
False,0,,0.0,PLC_C05_M01,SW_C05_M01_CTRL,a_PLC_C05_M01_SW_C05_M01_CTRL,14,False,a_PLC_C05_M01_SW_C05_M01_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C05_M02,SW_C05_M02_CTRL,a_PLC_C05_M02_SW_C05_M02_CTRL,14,False,a_PLC_C05_M02_SW_C05_M02_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C05_M03,SW_C05_M03_CTRL,a_PLC_C05_M03_SW_C05_M03_CTRL,14,False,a_PLC_C05_M03_SW_C05_M03_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C06_M01,SW_C06_M01_CTRL,a_PLC_C06_M01_SW_C06_M01_CTRL,14,False,a_PLC_C06_M01_SW_C06_M01_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C06_M02,SW_C06_M02_CTRL,a_PLC_C06_M02_SW_C06_M02_CTRL,14,False,a_PLC_C06_M02_SW_C06_M02_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C06_M03,SW_C06_M03_CTRL,a_PLC_C06_M03_SW_C06_M03_CTRL,14,False,a_PLC_C06_M03_SW_C06_M03_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C07_M01,SW_C07_M01_CTRL,a_PLC_C07_M01_SW_C07_M01_CTRL,14,False,a_PLC_C07_M01_SW_C07_M01_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C07_M02,SW_C07_M02_CTRL,a_PLC_C07_M02_SW_C07_M02_CTRL,14,False,a_PLC_C07_M02_SW_C07_M02_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C07_M03,SW_C07_M03_CTRL,a_PLC_C07_M03_SW_C07_M03_CTRL,14,False,a_PLC_C07_M03_SW_C07_M03_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C08_M01,SW_C08_M01_CTRL,a_PLC_C08_M01_SW_C08_M01_CTRL,14,False,a_PLC_C08_M01_SW_C08_M01_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C08_M02,SW_C08_M02_CTRL,a_PLC_C08_M02_SW_C08_M02_CTRL,14,False,a_PLC_C08_M02_SW_C08_M02_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C08_M03,SW_C08_M03_CTRL,a_PLC_C08_M03_SW_C08_M03_CTRL,14,False,a_PLC_C08_M03_SW_C08_M03_CTRL,True,False,M,M_RING,RING
False,0,,0.0,S1_C01_M01,SW_C01_M01_SENS,a_S1_C01_M01_SW_C01_M01_SENS,2,False,a_S1_C01_M01_SW_C01_M01_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C01_M02,SW_C01_M02_SENS,a_S1_C01_M02_SW_C01_M02_SENS,2,False,a_S1_C01_M02_SW_C01_M02_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C01_M03,SW_C01_M03_SENS,a_S1_C01_M03_SW_C01_M03_SENS,2,False,a_S1_C01_M03_SW_C01_M03_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C02_M01,SW_C02_M01_SENS,a_S1_C02_M01_SW_C02_M01_SENS,2,False,a_S1_C02_M01_SW_C02_M01_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C02_M02,SW_C02_M02_SENS,a_S1_C02_M02_SW_C02_M02_SENS,2,False,a_S1_C02_M02_SW_C02_M02_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C02_M03,SW_C02_M03_SENS,a_S1_C02_M03_SW_C02_M03_SENS,2,False,a_S1_C02_M03_SW_C02_M03_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C03_M01,SW_C03_M01_SENS,a_S1_C03_M01_SW_C03_M01_SENS,2,False,a_S1_C03_M01_SW_C03_M01_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C03_M02,SW_C03_M02_SENS,a_S1_C03_M02_SW_C03_M02_SENS,2,False,a_S1_C03_M02_SW_C03_M02_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C03_M03,SW_C03_M03_SENS,a_S1_C03_M03_SW_C03_M03_SENS,2,False,a_S1_C03_M03_SW_C03_M03_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C04_M01,SW_C04_M01_SENS,a_S1_C04_M01_SW_C04_M01_SENS,2,False,a_S1_C04_M01_SW_C04_M01_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C04_M02,SW_C04_M02_SENS,a_S1_C04_M02_SW_C04_M02_SENS,2,False,a_S1_C04_M02_SW_C04_M02_SENS,True,False,M,M_RING,RING
False,0,,0.0,S1_C04_M03,SW_C04_M03_SENS,a_S1_C04_M03_SW_C04_M03_SENS,2,False,a_S1_C04_M03_SW_C04_M03_SENS,True,False,M,M_RING,RING
