P0_route_links_abandoned,changed_affected_flow_count,changed_route_flow_count,changed_route_flow_ratio,changed_unaffected_flow_count,changed_unaffected_flow_ratio,fault_id,hop_delta_total,max_hop_delta,mean_hop_delta_per_changed_flow,new_physical_links_used,scenario,total_P0_hops,total_PF_hops
l_SW_C02_CORE_B_SW_C02_M02_CTRL;l_SW_C02_CORE_B_SW_C02_M02_SENS,8,8,0.022727272727272728,0,0.0,l_SW_C02_CORE_B_SW_C02_M02_SENS,0,0,0.0,l_SW_C02_CORE_A_SW_C02_M02_SENS,M_REDSTAR,1440,1440
l_SW_C02_CORE_B_SW_C02_M03_CTRL;l_SW_C02_CORE_B_SW_C02_M03_SENS,8,8,0.022727272727272728,0,0.0,l_SW_C02_CORE_B_SW_C02_M03_CTRL,0,0,0.0,l_SW_C02_CORE_A_SW_C02_M03_SENS,M_REDSTAR,1440,1440
l_SW_C02_CORE_B_SW_C02_M03_CTRL;l_SW_C02_CORE_B_SW_C02_M03_SENS,8,8,0.022727272727272728,0,0.0,l_SW_C02_CORE_B_SW_C02_M03_SENS,0,0,0.0,l_SW_C02_CORE_A_SW_C02_M03_SENS,M_REDSTAR,1440,1440
l_SW_C02_CORE_B_SW_FACTORY_CORE_B,2,2,0.005681818181818182,0,0.0,l_SW_C02_CORE_B_SW_FACTORY_CORE_B,0,0,0.0,l_SW_C02_CORE_B_SW_FACTORY_CORE_A;l_SW_C03_CORE_A_SW_FACTORY_CORE_A,M_REDSTAR,1440,1440
l_SW_C03_CC_SW_C03_CORE_A;l_SW_C03_CORE_A_SW_FACTORY_CORE_B,8,8,0.022727272727272728,0,0.0,l_SW_C03_CC_SW_C03_CORE_A,0,0,0.0,,M_REDSTAR,1440,1440
l_SW_C03_CC_SW_C03_CORE_B;l_SW_C03_CORE_B_SW_FACTORY_CORE_B,2,2,0.005681818181818182,0,0.0,l_SW_C03_CC_SW_C03_CORE_B,0,0,0.0,,M_REDSTAR,1440,1440
l_SW_C03_CORE_A_SW_C03_M01_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C03_CORE_A_SW_C03_M01_ACT,0,0,0.0,l_SW_C03_CORE_B_SW_C03_M01_ACT,M_REDSTAR,1440,1440
l_SW_C03_CORE_A_SW_C03_M01_ACT;l_SW_C03_CORE_A_SW_C03_M01_CTRL,6,6,0.017045454545454544,0,0.0,l_SW_C03_CORE_A_SW_C03_M01_CTRL,0,0,0.0,l_SW_C03_CORE_B_SW_C03_M01_ACT,M_REDSTAR,1440,1440
l_SW_C03_CORE_A_SW_C03_M02_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C03_CORE_A_SW_C03_M02_ACT,0,0,0.0,l_SW_C03_CORE_B_SW_C03_M02_ACT,M_REDSTAR,1440,1440
l_SW_C03_CORE_A_SW_C03_M02_ACT;l_SW_C03_CORE_A_SW_C03_M02_CTRL,6,6,0.017045454545454544,0,0.0,l_SW_C03_CORE_A_SW_C03_M02_CTRL,0,0,0.0,l_SW_C03_CORE_B_SW_C03_M02_ACT,M_REDSTAR,1440,1440
l_SW_C03_CORE_A_SW_C03_M03_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C03_CORE_A_SW_C03_M03_ACT,0,0,0.0,l_SW_C03_CORE_B_SW_C03_M03_ACT,M_REDSTAR,1440,1440
l_SW_C03_CORE_A_SW_C03_M03_ACT;l_SW_C03_CORE_A_SW_C03_M03_CTRL,6,6,0.017045454545454544,0,0.0,l_SW_C03_CORE_A_SW_C03_M03_CTRL,0,0,0.0,l_SW_C03_CORE_B_SW_C03_M03_ACT,M_REDSTAR,1440,1440
