alpha,alpha_HNF,alpha_completion_class,baseline_HNF,baseline_completion_class,flow_id,flow_kind,regressed_from_baseline_success,rescued_from_baseline_HNF,scenario
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C04_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C04_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C04_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C05_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C05_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C05_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C06_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C06_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C06_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C07_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C07_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C07_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C08_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C08_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S1_C08_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C01_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C01_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C01_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C02_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C02_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C02_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C03_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C03_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C03_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C04_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C04_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C04_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C05_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C05_M02,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C05_M03,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C06_M01,SensorCyclic,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,SC_S2_C06_M02,SensorCyclic,False,False,M_RING
